X,Y,OBJECTID,ADDRESS_BLOCK,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_ADDRESS,METER_NUMBER,SPACE_NUMBER,SPACE_TYPE,INSTALL_DATE,HOURLY_RATE,DAILY_RATE,RATE_INCREASE_DATE,ZONE_NAME,OP_HOURS,OP_DAYS,PAY_TYPE
-86.145725157444,39.7773983208533,104418,700,,MASSACHUSETTS,AVE,,700 MASSACHUSETTS AV,MAS 000770,2058,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1644533282217,39.7701428725325,104419,300,W,OHIO,ST,N,300 W OHIO ST,WO  000322,3065,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1427785247537,39.7794029454276,104420,800,,MASSACHUSETTS,AVE,,800 MASSACHUSETTS AVE,,2521,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1581253771598,39.7637733907455,104421,200,S,MERIDIAN,ST,E,200 S MERIDIAN ST,SM  000205,7298,SINGLE SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
-86.1593295570398,39.7808230859465,104422,900,N,ILLINOIS,ST,E,900 N ILLINOIS ST,NILL000937,8383,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1595602353266,39.778288012006,104423,800,N,ILLINOIS,ST,W,800 N ILLINOIS ST,NILL000806,8327,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1600148807755,39.7700437961405,104424,100,W,OHIO,ST,N,100 W OHIO ST,WO  000102,3450,ADA,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
-86.1609387172285,39.7700582222673,104425,100,W,OHIO,ST,N,100 W OHIO ST,WO  000122,3460,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1558374034377,39.7815918750089,104426,1000,N,PENNSYLVANIA,ST,W,1000 N PENNSYLVANIA ST,NP  001006,8660,ADA,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,SINGLE
-86.1555595995481,39.7665308530326,104427,0000,,VIRGINIA,AVE,N,0000 VIRGINIA AV,VA  000014,5123,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1615124846355,39.774554392589,104428,500,N,CAPITOL,AVE,W,500 N CAPITOL AV,NC  000502,8080,ADA,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,SINGLE
-86.1464955162475,39.7766839820957,104429,700,,MASSACHUSETTS,AVE,,700 MASSACHUSETTS AV,MAS 000705,2072,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1645073207916,39.7673399639017,104430,300,W,WASHINGTON,ST,N,300 W WASHINGTON ST,WW  000342,7050,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1593721109753,39.7796458990044,104431,900,N,ILLINOIS,ST,E,900 N ILLINOIS ST,NILL000909,8369,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1538238765652,39.771658509393,104432,300,,MASSACHUSETTS,AVE,,300 MASSACHUSETTS AV,MAS 000314,1346,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1613616711408,39.769287330703,104433,100,W,WABASH,ST,S,100 W WABASH ST,WWB 000137,3318,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1599487911131,39.763302194125,104434,200,S,ILLINOIS,ST,E,200 S ILLINOIS ST,,7346,SINGLE SPACE,2014/12/17 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,SINGLE
-86.1574490888101,39.772791597277,104435,0000,E,VERMONT,ST,N,0000 E VERMONT ST,EV  000012,2575,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1522096833663,39.7764238138542,104436,600,N,ALABAMA,ST,E,600 N ALABAMA ST,NA  000631,8774,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-1800,MON-FRI,MULTI
