X,Y,OBJECTID,SPACE_,STATUS,DMS_LAT,DMS_Long,WHOLESTNAME,SideOfStreet,Block,GlobalID
1448700.18710601,544387.227731004,4370,,Operational,35.2317181827774,-80.8462866300897,W 5th St,South,500,64b2e3f6-8284-4268-a50f-b7545cff1bc0
1454295.995231,537920.818356007,4371,,Operational,35.2142381234502,-80.8271521417437,Elizabeth Av,North,1500,15114b10-5f46-4d09-84aa-a05897f2ee2f
1450318.855856,540718.606481001,4372,304,Pay Station,35.221722350596,-80.8406392217396,E 3rd St,North,500,d166501e-0a33-485f-9e24-8767e458d56f
1445578.293981,537584.338981003,4373,,Operational,35.2128693709264,-80.8563133487542,South Bv,East,1600,2e1a1e69-027a-4338-ae1d-34f0a7155bbf
1448298.06773101,543108.26835601,4374,,Operational,35.2281840802344,-80.8475532980732,S Mint St,West,200,7b1f6c69-07ea-4455-a122-8d08142bd3b0
1450161.29773101,539814.89398101,4375,523,Operational,35.2192316445145,-80.8411105756491,E Martin Luther King Jr Bv,South,600,f3774bed-64e7-48d7-bbca-de6e4fc5092d
1451465.07835601,544547.725856006,4376,2112,Operational,35.232326797657,-80.837082571546,W 10th St,South,100,90f12e9d-0881-4bf6-bd91-01df473dc965
1448057.637731,542562.207106009,4377,2221,Pay Station,,,W Martin Luther King Jr Bv,North,200,c5d8479c-385f-4532-83b4-a447fa940700
1452120.246481,541343.751481012,4378,413,Operational,35.2235313690534,-80.8346472196178,E 6th St,North,600,9591f383-6561-40f0-aa82-40c80c9a656b
1447596.62648101,541642.062106013,4379,,Bagged,35.2241202386694,-80.8498102746144,S Church St,East,600,16dd88e9-6a4b-4fe3-9633-b6545f9b0fbc
1450137.40773101,539910.120231003,4380,531,Operational,35.2194920326628,-80.8411964652537,E Martin Luther King Jr Bv,North,600,ff4a53dc-11c7-44e8-9e8b-f2b74d677034
1447508.81523101,545015.251481012,4381,,Pay Station,35.2333825382812,-80.8503147739269,W Trade St,North,800,1093ad78-5fe3-4d4c-90b4-4366e5934b1c
