City,Street Address,Rate
New York City,164 Street,3.0
New York City,Queens Boulevard,1.625
New York City,89 Avenue,3.0
New York City,Cuthbert Road,1.625
New York City,Lefferts Boulevard,1.625
New York City,136 Street,1.625
New York City,Hillside Avenue,1.625
New York City,Hillside Avenue,1.625
New York City,161 Street,3.0
New York City,Hillside Avenue,1.625
New York City,Elmhurst Avenue,1.625
New York City,82 Avenue,1.625
New York City,Austin Street,2.0
New York City,63 Avenue,1.625
New York City,Woodhaven Boulevard,1.625
New York City,69 Place,1.625
New York City,76 Road,1.625
New York City,79 Street,2.0
New York City,69 Lane,1.625
New York City,Broadway,5.375
New York City,Howard Street,5.375
New York City,Delancey Street,5.375
New York City,1 Avenue,5.375
New York City,West 29 Street,0.0
New York City,7 Avenue,0.0
New York City,10 Avenue,5.375
New York City,11 Avenue,5.375
New York City,8 Avenue,5.375
New York City,11 Avenue,5.375
New York City,8 Avenue,0.0
New York City,Grand Street,0.0
New York City,2 Avenue,5.375
New York City,York Avenue,5.375
New York City,1 Avenue,5.375
New York City,Allen Street,5.375
New York City,10 Avenue,5.375
New York City,10 Avenue,5.375
New York City,6 Avenue W. Roadway,5.375
New York City,6 Avenue E. Roadway,5.375
New York City,2 Avenue,5.375
New York City,East 70 Street,5.375
New York City,West Street,4.0
New York City,2 Avenue,5.375
New York City,East 18 Street,5.375
New York City,2 Avenue,5.375
New York City,3 Avenue,5.375
New York City,East 65 Street,0.0
New York City,3 Avenue,6.0
New York City,East 40 Street,6.0
New York City,Lexington Avenue,6.0
New York City,Mott Street,5.375
New York City,Grand Street,0.0
New York City,West 19 Street,5.375
New York City,9 Avenue,5.375
New York City,Forsythe Street,5.375
New York City,Grand Street,5.375
New York City,Allen Street,5.375
New York City,East 7 Street,1.625
New York City,7 Avenue,3.0
New York City,Smith Street,3.0
New York City,10 Street,3.0
New York City,5 Avenue,3.0
New York City,11 Street,3.0
New York City,Wyckoff Avenue,1.625
New York City,8 Avenue,2.0
New York City,5 Avenue,3.0
New York City,Prospect Avenue,3.0
New York City,Fulton Street,2.0
New York City,6 Avenue,3.0
New York City,7 Avenue,3.0
New York City,Roebling Street,1.4375
New York City,Division Avenue,1.4375
New York City,Manhattan Avenue,2.0
New York City,Emmons Avenue,1.625
New York City,Union Turnpike,1.625
New York City,Jamaica Avenue,1.625
New York City,Jamaica Avenue,1.625
New York City,218 Street,1.625
New York City,218 Street,1.625
New York City,217 Street,1.625
New York City,Hollis Court Boulevard,1.625
New York City,Jamaica Avenue,1.625
New York City,Schley Avenue,1.625
New York City,Jamaica Avenue,1.625
New York City,Kew Gardens Road,1.625
New York City,Queens Boulevard,1.625
New York City,Queens Boulevard,1.625
New York City,87 Avenue,1.625
New York City,Jamaica Avenue,1.625
New York City,107 Street,1.625
New York City,108 Street,1.625
New York City,73 Street,2.0
New York City,68 Drive,1.625
New York City,Dongan Avenue,2.0
New York City,99 Street,1.625
New York City,Maple Avenue,3.0
New York City,63 Drive,1.625
New York City,69 Place,1.625
New York City,Broadway,5.375
New York City,King Street,5.375
New York City,6 Avenue,5.375
New York City,Broadway,5.375
New York City,East 30 Street,0.0
New York City,Lexington Avenue,0.0
New York City,Broadway,4.5
New York City,West 25 Street,0.0
New York City,Church Street,5.375
New York City,Duane Street,5.375
New York City,West Broadway,5.375
New York City,Hudson Street,5.375
New York City,Broadway,4.5
New York City,West 31 Street,0.0
New York City,2 Avenue,5.375
New York City,Bowery,5.375
New York City,Greenwich Street,5.375
New York City,Hudson Street,5.375
New York City,East 64 Street,0.0
New York City,1 Avenue,5.375
New York City,West 14 Street,5.375
New York City,9 Avenue,5.375
New York City,West 13 Street,5.375
New York City,14 Avenue,1.625
New York City,Ovington Avenue,2.0
New York City,7 Avenue,2.0
New York City,Atlantic Avenue,2.0
New York City,Nostrand Avenue,2.0
New York City,Lee Avenue,1.625
New York City,4 Avenue,1.625
New York City,8 Avenue,1.625
New York City,8 Street,3.0
New York City,6 Avenue,3.0
New York City,9 Street,3.0
New York City,Jamaica Avenue,1.625
New York City,101 Avenue,1.625
New York City,Jamaica Avenue,1.625
New York City,Jamaica Avenue,1.625
New York City,109 Street,1.625
New York City,110 Street,1.625
New York City,Liberty Avenue,1.625
New York City,Austin Street,1.625
New York City,109 Street,1.625
New York City,Liberty Avenue,1.625
New York City,55 Avenue,1.625
New York City,78 Street,2.0
New York City,81 Street,2.0
New York City,72 Avenue,2.33
New York City,86 Street,2.0
New York City,41 Avenue,2.0
New York City,Broadway,1.625
New York City,College Point Boulevard,1.625
New York City,53 Avenue,1.625
New York City,East Houston Street,5.375
